municipality,latitude,longitude,surface_total_in_m2,surface_covered_in_m2,rooms,price_aprox_usd
Caballito,-34.607026,-58.442438,48.0,42.0,2.0,137000.0
San Nicolás,-34.602823,-58.36824,64.0,64.0,3.0,135000.0
Belgrano,-34.5636949,-58.4581944,36.0,36.0,,119900.0
Barracas,-34.6321116,-58.3703982,48.0,42.0,1.0,102337.45
Caballito,-34.621654,-58.440164,52.0,48.0,2.0,139000.0
Palermo,-34.5757551,-58.4345373,82.0,72.0,3.0,290000.0
Villa Crespo,-34.6010624,-58.4376694,80.0,72.0,3.0,158000.0
Caballito,-34.6213002,-58.4384732,68.0,59.0,3.0,140000.0
Villa Urquiza,-34.5687875,-58.4966697,45.0,42.0,2.0,95800.0
Caballito,-34.614193,-58.430228,128.0,124.0,,300000.0
Parque Centenario,-34.60662,-58.4304928,76.0,68.0,3.0,200000.0
Monserrat,-34.6108357,-58.3748784,126.0,122.0,6.0,250000.0
Balvanera,-34.604293,-58.4063222,40.0,40.0,2.0,75000.0
Centro / Microcentro,-34.5966202515,-58.3806085715,72.0,72.0,3.0,145000.0
Recoleta,-34.5894701,-58.4078757,114.0,94.0,4.0,295000.0
Floresta,,,96.0,89.0,,123000.0
Villa Crespo,-34.605719,-58.431068,49.0,49.0,1.0,91500.0
Belgrano,-34.5605705,-58.4590119,70.0,58.0,3.0,135000.0
Floresta,-34.6392412,-58.478673,45.0,41.0,,83000.0
Belgrano,-34.5653042899,-58.4379652889,74.0,74.0,3.0,180000.0
Palermo,-34.5861558174,-58.4150055376,100.0,100.0,3.0,380000.0
Belgrano,-34.5671171991,-58.4578875283,70.0,50.0,,180000.0
Nuñez,-34.552745,-58.462983,40.0,37.0,1.0,107500.0
Caballito,-34.6087862,-58.4304906,57.0,40.0,,118000.0
Saavedra,-34.557199,-58.480847,70.0,61.0,2.0,176000.0
Villa del Parque,-34.6004038,-58.4954328,102.0,85.0,,165000.0
Belgrano,-34.6037137392,-58.3815808896,81.0,58.0,1.0,138000.0
Balvanera,-34.613702,-58.414297,120.0,60.0,3.0,152000.0
Villa Pueyrredón,-34.5766379926,-58.5080122948,160.0,100.0,,165000.0
